State,Name,Types,Source
Alabama,Electric Vehicle (EV) Charging Station Financing Program Authorization,Electricity,https://afdc.energy.gov/laws/12990
Alaska,Energy and Resilience Project Support,Electricity,https://afdc.energy.gov/laws/13005
Arizona,Hydrogen Fuel Production Support,Hydrogen,https://afdc.energy.gov/laws/13021
California,Hydrogen Fueling Station Evaluation,Hydrogen,https://afdc.energy.gov/laws/11167
California,Electric Vehicle (EV) Grid Integration Requirements,Electricity,https://afdc.energy.gov/laws/12315
California,Hydrogen and Electric Vehicle (EV) Charging Station Local Permitting Policies,Electricity,https://afdc.energy.gov/laws/11660
California,Zero Emission Vehicle (ZEV) Promotion Plan,"Electricity, Hydrogen",https://afdc.energy.gov/laws/10212
Colorado,Electric Vehicle (EV) Charging Station Building Standards,Electricity,https://afdc.energy.gov/laws/13013
Connecticut,Electric Vehicle (EV) Charging Station Incentive Requirements,Electricity,https://afdc.energy.gov/laws/12754
Connecticut,Utility Company Electric Vehicle (EV) Charging Load Projection Requirement,Electricity,https://afdc.energy.gov/laws/11711
Illinois,Toll Highway Electric Vehicle (EV) Charging Station Installation Requirement,Electricity,https://afdc.energy.gov/laws/12144
Minnesota,Electric Vehicle (EV) Charging Station Requirements,Electricity,https://afdc.energy.gov/laws/6573
Nevada,Electric Vehicle (EV) Charging Station Demonstration Program Requirements,Electricity,https://afdc.energy.gov/laws/11856
New Jersey,Electric Vehicle (EV) Charging Station Development,Electricity,https://afdc.energy.gov/laws/12358
Oregon,Electric Vehicle (EV) Charging Station Building Standards for New Construction,Electricity,https://afdc.energy.gov/laws/11941
Oregon,Transportation Electrification Acceleration Programs,Electricity,https://afdc.energy.gov/laws/11692
Texas,Public Utility Electric Vehicle (EV) Charging Station Policy Design Requirements ,Electricity,https://afdc.energy.gov/laws/13293
Virginia,Utility Company Electric Vehicle (EV) Charging Station Requirement,Electricity,https://afdc.energy.gov/laws/12408
Virginia,Electric Vehicle (EV) Infrastructure New Building Requirement for Localities,Electricity,https://afdc.energy.gov/laws/12647
Washington,Mandatory Electric Vehicle (EV) Charging Station Building Standards,Electricity,https://afdc.energy.gov/laws/12385
Washington,Electric Vehicle (EV) Promotion and Infrastructure Development,Electricity,https://afdc.energy.gov/laws/6531
